X,Y,PEOPLE,TYPE,PEOPLE_201,icon_url
15.255332,-17.361677,7.0,Rural,7.9,./0.png
15.25589,-17.36307,7.0,Rural,7.9,./0.png
15.254259,-17.364586,7.0,Rural,7.9,./0.png
15.256534,-17.36391,7.0,Rural,7.9,./0.png
15.273592,-17.356086,7.0,Rural,7.9,./0.png
15.272155,-17.36051,7.0,Rural,7.9,./0.png
15.268915,-17.362906,7.0,Rural,7.9,./0.png
15.281403,-17.362763,7.0,Rural,7.9,./0.png
15.30741,-17.358093,7.0,Rural,7.9,./0.png
15.309362,-17.35924,7.0,Rural,7.9,./0.png
15.322924,-17.358913,7.0,Rural,7.9,./0.png
15.325348,-17.363234,7.0,Rural,7.9,./0.png
15.358436,-17.359875,7.0,Rural,7.9,./0.png
15.384099,-17.357971,7.0,Rural,7.9,./0.png
15.384893,-17.358831,7.0,Rural,7.9,./0.png
15.38131,-17.356947,7.0,Rural,7.9,./0.png
15.378821,-17.355369,7.0,Rural,7.9,./0.png
15.403261,-17.354571,7.0,Rural,7.9,./0.png
15.410686,-17.354878,7.0,Rural,7.9,./0.png
15.412424,-17.358544,7.0,Rural,7.9,./0.png
15.40236,-17.357008,7.0,Rural,7.9,./0.png
15.429311,-17.355226,7.0,Rural,7.9,./0.png
15.42871,-17.357418,7.0,Rural,7.9,./0.png
15.42989,-17.353874,7.0,Rural,7.9,./0.png
15.42944,-17.35967,7.0,Rural,7.9,./0.png
15.43092,-17.363787,7.0,Rural,7.9,./0.png
15.431607,-17.358913,7.0,Rural,7.9,./0.png
15.440598,-17.364586,7.0,Rural,7.9,./0.png
15.455983,-17.356762,7.0,Rural,7.9,./0.png
15.466948,-17.358503,7.0,Rural,7.9,./0.png
15.482118,-17.360735,7.0,Rural,7.9,./0.png
15.512846,-17.360305,7.0,Rural,7.9,./0.png
15.522437,-17.361125,7.0,Rural,7.9,./0.png
15.524991,-17.364483,7.0,Rural,7.9,./0.png
15.539668,-17.362763,7.0,Rural,7.9,./0.png
15.544045,-17.35541,7.0,Rural,7.9,./0.png
15.552006,-17.357786,7.0,Rural,7.9,./0.png
15.554237,-17.354857,7.0,Rural,7.9,./0.png
15.570588,-17.357131,7.0,Rural,7.9,./0.png
15.587583,-17.363562,7.0,Rural,7.9,./0.png
15.604963,-17.356537,7.0,Rural,7.9,./0.png
15.606401,-17.359814,7.0,Rural,7.9,./0.png
15.615156,-17.356127,7.0,Rural,7.9,./0.png
15.616229,-17.358483,7.0,Rural,7.9,./0.png
15.624812,-17.358114,7.0,Rural,7.9,./0.png
15.624726,-17.356291,7.0,Rural,7.9,./0.png
15.615993,-17.35498,7.0,Rural,7.9,./0.png
15.625691,-17.364565,7.0,Rural,7.9,./0.png
15.641506,-17.361923,7.0,Rural,7.9,./0.png
15.641291,-17.359261,7.0,Rural,7.9,./0.png
15.654573,-17.35838,7.0,Rural,7.9,./0.png
15.667491,-17.361759,7.0,Rural,7.9,./0.png
15.666053,-17.359179,7.0,Rural,7.9,./0.png
15.68176,-17.364381,7.0,Rural,7.9,./0.png
15.751562,-17.363173,7.0,Rural,7.9,./0.png
15.752206,-17.354898,7.0,Rural,7.9,./0.png
15.780101,-17.359384,7.0,Rural,7.9,./0.png
15.801151,-17.364217,7.0,Rural,7.9,./0.png
15.824583,-17.361247,7.0,Rural,7.9,./0.png
15.837114,-17.355472,7.0,Rural,7.9,./0.png
15.845332,-17.35582,7.0,Rural,7.9,./0.png
15.847178,-17.360346,7.0,Rural,7.9,./0.png
